ID,minimizedAffinity,CNNscore,CNNaffinity
50437802,-6.13289499,0.404776633,5.91665983
701274,-6.54995728,0.948311269,5.71050501
50441200,-6.55995989,0.774255097,5.24869013
50335490,-5.30076456,0.860735655,3.89914012
50441196,-8.06589317,0.634819686,5.29127693
50422673,-7.00005245,0.629180789,5.3034997
50422664,-6.83341932,0.863599539,6.23078203
50528590,4.16675329,0.692577124,4.45576239
50528595,-8.11515045,0.849657536,5.49182081
50422659,-5.09224319,0.596564591,5.15978861
50422646,-6.51834631,0.919789016,5.99568892
50028371,-7.08077288,0.579887152,5.30903625
50437806,-7.81655073,0.966178,6.25206375
50422677,-6.47193432,0.89951396,5.72102308
50028363,-4.05196762,0.597552538,4.9903388
50335484,-5.22712183,0.487622976,5.19586039
50135835,-6.99954605,0.66167742,5.1105485
50437793,-7.80663681,0.30348897,6.01805496
50422649,-8.11305332,0.723943412,6.26774073
50437792,-7.13841486,0.327128291,5.79187822
50335486,-6.40209675,0.780156672,5.18356657
701278,-6.60994291,0.76340121,5.28530264
50441204,-6.27656364,0.658652961,5.17348719
50437797,-7.86714792,0.744974375,5.670578
50437801,-7.38120794,0.335371852,5.86358118
50028364,-6.71663475,0.467175424,4.31600332
50044975,41.5796776,0.534440815,4.49072266
50081650,-7.54350138,0.679763734,5.70278978
50422653,-4.91631842,0.763505459,5.20124912
50181150,-6.74350405,0.620449364,5.22900295
50422656,-6.74873543,0.974672735,6.24481821
50153713,-5.99324322,0.935750902,5.90447474
50422666,-7.73096371,0.960223675,6.18571138
7457,-5.04423475,0.684633315,5.14250135
50181147,-4.95849991,0.575113654,4.97929621
50115109,-8.4251833,0.834436119,5.87097597
50380000,-6.53506374,0.895647228,5.61697769
50437805,-8.32318497,0.953272223,6.42834902
50422676,-6.87064266,0.965613961,6.48370934
50422671,-6.35850477,0.851078868,5.66426277
50181151,-7.14224386,0.576152563,5.01519823
