ID,pIC50,SMILES,minimizedAffinity,CNNscore,CNNaffinity,Rank_Exp,Rank_Dock,Rank_Consenso
50135835,5.3979400086720375,O=P(O)(O)C(Nc1nccc2ccccc12)P(=O)(O)O,-6.99954605,0.66167742,5.1105485,136.0,148.5,284.5
50135835,5.3979400086720375,O=P(O)(O)C(Nc1nccc2ccccc12)P(=O)(O)O,-6.99954605,0.66167742,5.1105485,136.0,148.5,284.5
50422659,5.189969213594161,O=CN(O)CC(Cc1ccccc1)CP(=O)(O)O,-5.09224319,0.596564591,5.15978861,148.0,138.0,286.0
701278,4.901010360598823,COCOCOCOP(=O)(C=CCN(O)C=O)OCOCOCOC,-6.60994291,0.76340121,5.28530264,168.0,119.5,287.5
50437794,4.886056647693163,O=C(c1ccccc1Cn1cncn1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,-1.6619122,0.244914204,5.2738862,169.5,121.0,290.5
50044976,5.508638306165727,O=C(O)CN1C(=O)C(=Cc2ccc(O)c(O)c2)SC1=S,-6.17870474,0.687190294,4.85506201,125.0,168.5,293.5
50441194,4.886056647693163,CN(O)C(=O)CCC(c1cccc2ccccc12)P(=O)(O)O,-6.68662405,0.632605672,5.22115755,169.5,126.0,295.5
50422673,4.799998134593398,CCOC(=O)C(=O)N(O)C1CCC(P(=O)(O)O)C1,-7.00005245,0.629180789,5.3034997,179.5,117.0,296.5
701278,4.8170150329964185,COCOCOCOP(=O)(C=CCN(O)C=O)OCOCOCOC,-6.60994291,0.76340121,5.28530264,178.0,119.5,297.5
50528597,5.356547323513812,COc1cc(OC)cc(C(SCC(=O)N(C)O)P(=O)(O)O)c1,-6.95005131,0.670150101,5.00162935,141.5,156.5,298.0
50441207,4.823908740944319,O=C(CSC(c1ccccc1)P(=O)(O)O)NO,-6.28518009,0.640295088,5.25342321,175.5,123.0,298.5
50044973,5.481486060122113,O=C(CN1C(=O)C(=Cc2cccc(O)c2O)SC1=S)Nc1ccc(Oc2ccc(Cl)cc2)cc1,5.86732912,0.476535529,4.79148722,127.0,173.0,300.0
50044967,5.494850021680094,O=C(CN1C(=O)C(=Cc2ccc(O)c(O)c2)SC1=S)Nc1ccc(Oc2ccc(Cl)cc2)cc1,6.37094021,0.400456101,4.64561892,126.0,175.0,301.0
7459,5.468521082957745,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,37.5570374,0.750582397,4.74045181,129.5,174.0,303.5
50528591,4.823908740944319,CN(O)C(=O)CS(=O)(=O)C(c1cccc2ccccc12)P(=O)(O)O,-7.67719078,0.696852684,5.19876719,175.5,130.0,305.5
50044976,5.356547323513812,O=C(O)CN1C(=O)C(=Cc2ccc(O)c(O)c2)SC1=S,-6.17870474,0.687190294,4.85506201,141.5,168.5,310.0
50044975,5.42021640338319,O=C(CN1C(=O)C(=Cc2ccc(O)c(O)c2)SC1=S)NO,41.5796776,0.534440815,4.49072266,134.0,176.5,310.5
50028310,4.958607314841775,Cc1ccc(C(CCC(=O)NO)P(=O)(O)O)cc1,-7.62184238,0.418905139,5.11546183,166.0,146.5,312.5
