ID,SMILES,IC50_nM,pIC50,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,QED,Vina_Score,CNN_Score,CNN_Affinity
50422662,CCCCCCCC(=O)N(O)CCCP(=O)(O)O,1698.0,5.770062314092066,281.289,2.132500000000001,3,3,98.07,0.2464920940884691,-7.06210756,0.939994752,6.48384094
50441206,O=C(CSC(c1ccc(F)c(F)c1)P(=O)(O)O)NO,1700.0,5.769551078621726,313.218,1.3796999999999997,4,4,106.86,0.3715921176185726,-6.65922022,0.724354386,5.61240625
50422663,CCC(CCN(O)C=O)P(=O)(O)O,1778.0,5.7500682433658055,211.154,0.1803999999999997,3,3,98.07,0.2517687122120606,-5.17135286,0.750931442,5.16434622
50441193,Cc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1,1800.0,5.7447274948966935,287.252,1.84162,3,3,98.07,0.4358705518948625,-5.40025711,0.65367806,4.93368912
50441193,Cc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1,1800.0,5.7447274948966935,287.252,1.84162,3,3,98.07,0.4358705518948625,-5.40025711,0.65367806,4.93368912
50422641,O=C(c1ccccc1O)N(O)CCCP(=O)(O)O,1820.0,5.739928612014925,275.19699999999995,0.7913999999999999,4,4,118.3,0.3582413372707909,-7.56559849,0.943578243,6.34567833
50422653,O=C(CN(Cc1ccccc1)CP(=O)(O)O)NO,1820.0,5.739928612014925,274.213,0.1291999999999994,4,4,110.1,0.3332552462547056,-4.91631842,0.763505459,5.20124912
7460,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1900.0,5.721246399047171,302.238,1.988,5,7,131.36,0.4341904402990982,-5.64236355,0.623380899,5.05963278
50437804,O=C(c1ccc2ccccc2c1)N(O)CCCP(=O)(O)O,2000.0,5.698970004336019,309.258,2.2390000000000017,3,3,98.07,0.4468315064501554,-8.06248951,0.908205867,6.2673316
50422666,O=C(c1ccccc1)N(O)CCCP(=O)(O)O,2000.0,5.698970004336019,259.1979999999999,1.0858,3,3,98.07,0.4173842734650188,-7.73096371,0.960223675,6.18571138
50028362,COc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1,2000.0,5.698970004336019,303.25100000000003,1.5417999999999998,3,4,107.3,0.4178674407926679,-5.62273264,0.674583912,5.15345907
50441197,CN(O)C(=O)CCC(c1ccccc1)P(=O)(O)O,2000.0,5.698970004336019,273.225,1.5331999999999997,3,3,98.07,0.4291274758078082,-7.03192329,0.885443091,5.58479691
50009001,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,2200.0,5.657577319177793,270.24,2.5768000000000004,3,5,90.9,0.5910546660911952,-1.93197262,0.830400288,5.33246231
50422646,CC(=O)N(O)C1CCC(P(=O)(O)O)C1,2344.0,5.630042392653947,223.165,0.3229000000000001,3,3,98.07,0.3555722375396106,-6.51834631,0.919789016,5.99568892
50181153,CC(=O)N(O)CCCP(=O)(O)O,2390.0,5.621602099051862,197.127,-0.2080999999999998,3,3,98.07,0.328855787955969,-6.75422525,0.971103966,6.17627144
50422645,O=C(c1ccc(-c2ccccc2)cc1)N(O)CCCP(=O)(O)O,2399.0,5.619969752032169,335.29600000000005,2.7528000000000024,3,3,98.07,0.4282811396126585,-9.00595379,0.913829386,6.17024231
50028373,COc1ccc(C(OCC(=O)N(C)O)P(=O)(O)O)cc1,2800.0,5.552841968657781,305.223,0.7357,3,5,116.53,0.4028650898227761,-4.45346308,0.469418526,5.16542101
50185362,CCC(=O)N(O)CC1CC1P(=O)(O)O,3000.0,5.522878745280337,223.165,0.1804,3,3,98.07,0.3585190544471787,-6.93694258,0.963488162,6.10234118
50044976,O=C(O)CN1C(=O)C(=Cc2ccc(O)c(O)c2)SC1=S,3100.0,5.508638306165727,311.34000000000003,1.3836,3,6,98.07,0.4405391146537634,-6.17870474,0.687190294,4.85506201
50044967,O=C(CN1C(=O)C(=Cc2ccc(O)c(O)c2)SC1=S)Nc1ccc(Oc2ccc(Cl)cc2)cc1,3200.0,5.494850021680094,512.9960000000002,5.383400000000004,3,7,99.1,0.2313908507072488,6.37094021,0.400456101,4.64561892
50044973,O=C(CN1C(=O)C(=Cc2cccc(O)c2O)SC1=S)Nc1ccc(Oc2ccc(Cl)cc2)cc1,3300.0,5.481486060122113,512.9960000000003,5.383400000000004,3,7,99.1,0.2313908507072488,5.86732912,0.476535529,4.79148722
701274,CC(=O)N(O)CC=CP(=O)([O-])O,3310.0,5.480172006224281,194.103,-0.7165000000000001,2,4,100.9,0.3505643468516439,-6.54995728,0.948311269,5.71050501
