ID,pIC50_Real,pIC50_GNN
50335483,6.507239818572998,5.831608295440674
50185363,6.50445556640625,6.608606815338135
50437797,6.494850158691406,6.132098197937012
50028364,6.494850158691406,5.937994956970215
50181153,6.494850158691406,6.7175984382629395
50528602,6.494850158691406,6.51096248626709
701271,6.4685211181640625,7.1723713874816895
50459311,6.443697452545166,6.717597961425781
50181149,6.402304649353027,6.204250335693359
50335482,6.402304649353027,6.204250812530518
50380000,6.387216091156006,6.629946231842041
50459310,6.387216091156006,6.787100315093994
50153713,6.35852575302124,7.1723713874816895
50153713,6.3565473556518555,7.1723713874816895
50028373,6.346787452697754,6.0582404136657715
50181151,6.338187217712402,6.099454879760742
50335481,6.338187217712402,6.099454402923584
50153713,6.2924299240112305,7.1723713874816895
50441209,6.259637355804443,6.2999701499938965
50422677,6.189767360687256,6.112345218658447
701271,6.173925399780273,7.1723713874816895
50528603,6.1674909591674805,6.336603164672852
50028310,6.15490198135376,5.826103687286377
50422674,6.149966716766357,5.816436767578125
50441205,6.142667293548584,7.05231237411499
50441196,6.113509178161621,6.1442060470581055
50437803,6.0809221267700195,6.212740898132324
50335493,6.07572078704834,5.332278251647949
50081649,6.074172496795654,5.556242942810059
50422649,6.0,5.712277889251709
50459311,6.0,6.717597961425781
50445564,5.970616340637207,6.365356922149658
50380000,5.93930196762085,6.629946231842041
50437792,5.92081880569458,5.825187683105469
50335486,5.853871822357178,5.728967666625977
50379999,5.829738140106201,6.182408332824707
15236,5.823908805847168,5.605507850646973
50028371,5.823908805847168,5.669945240020752
50437806,5.79587984085083,5.77131462097168
50441202,5.79587984085083,6.5915350914001465
701274,5.77211332321167,6.365356922149658
50422662,5.770062446594238,6.138494968414307
50441206,5.7695512771606445,6.614048480987549
50422663,5.750068187713623,6.125471591949463
50441193,5.744727611541748,6.12825870513916
50441193,5.744727611541748,6.12825870513916
50422641,5.739928722381592,5.992313385009766
50422653,5.739928722381592,5.472640514373779
7460,5.721246242523193,5.637844085693359
50437804,5.698969841003418,6.006256103515625
50422666,5.698969841003418,5.956391334533691
50028362,5.698969841003418,6.0272626876831055
50441197,5.698969841003418,5.751395225524902
50009001,5.6575775146484375,5.371304988861084
50422646,5.630042552947998,5.913987159729004
50181153,5.6216020584106445,6.7175984382629395
50422645,5.619969844818115,5.956070423126221
50028373,5.552842140197754,6.058239936828613
50185362,5.522878646850586,5.865853786468506
50044976,5.508638381958008,5.482673168182373
50044967,5.494850158691406,5.578216552734375
50044973,5.481485843658447,5.494988441467285
701274,5.480172157287598,6.365356922149658
