ID,SMILES,IC50_nM,pIC50,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,QED
50459311,CC(=O)N(O)CCCP(=O)([O-])O,1000.0,6.0,196.119,-0.8400999999999998,2,4,100.9,0.3465343313932355
50445564,CC(=O)N(O)CC=CP(=O)([O-])O,1070.0,5.97061622231479,194.10299999999998,-0.7165000000000001,2,4,100.9,0.3505643468516439
50380000,CN(O)C(=O)CCCP(=O)(O)O,1150.0,5.939302159646388,197.127,-0.20810000000000006,3,3,98.07000000000001,0.328855787955969
50437792,O=C(c1ccc(Cn2cncn2)cc1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,1200.0,5.920818753952375,485.2640000000002,3.773700000000004,3,6,128.78,0.25174073862397467
50335486,O=c1ccc(-c2ccccc2)cn1O,1400.0,5.853871964321762,187.19799999999998,1.7526,1,3,42.230000000000004,0.6909183771263686
50379999,O=C(CCCP(=O)(O)O)NO,1480.0,5.8297382846050425,183.10000000000002,-0.5503000000000006,4,3,106.86000000000001,0.26552244934301084
15236,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,1500.0,5.823908740944319,318.237,1.6936000000000009,6,8,151.59,0.3707504645634647
50028371,COc1ccc(C(CCC(=O)NO)P(=O)(O)O)cc1OC,1500.0,5.823908740944319,319.25,1.2081999999999993,4,5,125.32000000000002,0.33794743119322773
50437806,O=C(c1cccnc1)N(O)CCCP(=O)(O)O,1600.0,5.795880017344075,260.1859999999999,0.48079999999999995,3,4,110.96000000000001,0.40315856989474025
50441202,CN(O)C(=O)COC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,1600.0,5.795880017344075,344.08700000000005,2.0339,3,4,107.30000000000001,0.428648323401495
701274,CC(=O)N(O)CC=CP(=O)([O-])O,1690.0,5.772113295386326,194.10299999999998,-0.7165000000000001,2,4,100.9,0.3505643468516439
50422662,CCCCCCCC(=O)N(O)CCCP(=O)(O)O,1698.0,5.770062314092066,281.28899999999993,2.132500000000001,3,3,98.07000000000001,0.24649209408846912
50441206,O=C(CSC(c1ccc(F)c(F)c1)P(=O)(O)O)NO,1700.0,5.769551078621726,313.218,1.3796999999999997,4,4,106.86000000000001,0.37159211761857264
50422663,CCC(CCN(O)C=O)P(=O)(O)O,1778.0,5.7500682433658055,211.154,0.18039999999999978,3,3,98.07000000000001,0.25176871221206065
50441193,Cc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1,1800.0,5.7447274948966935,287.252,1.84162,3,3,98.07000000000001,0.4358705518948625
50441193,Cc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1,1800.0,5.7447274948966935,287.252,1.84162,3,3,98.07000000000001,0.4358705518948625
50422641,O=C(c1ccccc1O)N(O)CCCP(=O)(O)O,1820.0,5.739928612014925,275.19699999999995,0.7913999999999999,4,4,118.30000000000001,0.35824133727079094
