ligand_id,status,method,mensagem
50441197,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=34.
50441200,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=35.
50441201,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=38.
50441202,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=32.
50441203,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=32.
50441204,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=32.
50441205,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=29.
50441206,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=29.
50441207,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=29.
50441208,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=35.
50441209,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=38.
50441210,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=32.
50441211,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=32.
50445564,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=21.
50459310,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=18.
50459311,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=23.
50528590,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=32.
50528591,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=40.
50528593,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=32.
50528595,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=34.
50528597,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=40.
50528598,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=33.
50528600,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=34.
50528601,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=39.
50528602,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=29.
50528603,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=37.
59100,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=54.
701278,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=49.
7457,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=31.
7459,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=31.
7460,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=32.
