Molecula_N,id,isomeric_smiles,canonical_smiles,inchikey,BindingDB MonomerID,IC50_nM
48,50528597,[H]ON(C(=O)C([H])([H])S[C@]([H])(c1c([H])c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])SC([H])(c1c([H])c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],RVEBSJDQWSFUER-GFCCVEGCSA-N,50528597,160.0
49,50181153,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],PKMNDDZSIHLLLI-UHFFFAOYSA-N,50181153,160.0
50,50379999,[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],AKXSFRVADDCWTF-UHFFFAOYSA-N,50379999,170.0
51,50459310,[H]ON(C([H])=O)C([H])([H])/C([H])=C(\[H])[P@@](=O)([O-])O[H],[H]ON(C([H])=O)C([H])([H])C([H])=C([H])P(=O)([O-])O[H],YTTBDWKRMPYBDN-HNQUOIGGSA-M,50459310,170.0
52,50422656,[H]ON(C(=O)C([H])(Cl)Cl)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])(Cl)Cl)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],KMYGXVTWNPXOEZ-UHFFFAOYSA-N,50422656,178.0
53,50081647,[H]ON(C(=O)C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])P(=O)(O[H])O[H])C([H])([H])[H],ACPXIHKQSXLCRP-YFKPBYRVSA-N,50081647,205.0
54,50028309,[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])[P@](=O)([O-])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)([O-])O[H],GJXWDTUCERCKIX-UHFFFAOYSA-M,50028309,220.0
55,50028309,[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])[P@](=O)([O-])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)([O-])O[H],GJXWDTUCERCKIX-UHFFFAOYSA-M,50028309,220.0
56,50422651,[H]ON(C(=O)c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],GQEOAWGCRFYWAA-UHFFFAOYSA-N,50422651,229.0
57,50153713,[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],GJXWDTUCERCKIX-UHFFFAOYSA-N,50153713,230.0
58,50028309,[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])[P@](=O)([O-])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)([O-])O[H],GJXWDTUCERCKIX-UHFFFAOYSA-M,50028309,230.0
59,50379999,[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],AKXSFRVADDCWTF-UHFFFAOYSA-N,50379999,257.0
60,50441195,[H]ON(C(=O)C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],UKTXVNQTYFYHAO-JTQLQIEISA-N,50441195,280.0
61,50441189,[H]ON(C(=O)C([H])([H])S[C@@]([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])SC([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],IWQBQVIYTMIQRL-JTQLQIEISA-N,50441189,280.0
62,50181147,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H],DTLBAEVDNCUSMB-LLVKDONJSA-N,50181147,282.0
63,50441193,[H]ON(C(=O)C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],YBVPWURHYFIQDS-LLVKDONJSA-N,50441193,290.0
64,50528590,[H]ON([H])C(=O)C([H])([H])S[C@]([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])SC([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],FBMPGIWVPZIABL-SNVBAGLBSA-N,50528590,290.0
65,50181147,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H],DTLBAEVDNCUSMB-LLVKDONJSA-N,50181147,311.0
66,50335483,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H],DTLBAEVDNCUSMB-LLVKDONJSA-N,50335483,311.0
67,50185363,[H]ON(C([H])=O)C([H])([H])[C@]1([H])C([H])([H])[C@@]1([H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C1([H])C([H])([H])C1([H])P(=O)(O[H])O[H],UQUOLLQTLQTTFU-CRCLSJGQSA-N,50185363,313.0
68,50437797,[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],ZQCVCGYWPNFEAH-HNNXBMFYSA-N,50437797,320.0
69,50028364,[H]ON(C(=O)C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],MTKVPWZBCNHJJD-LBPRGKRZSA-N,50028364,320.0
70,50181153,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],PKMNDDZSIHLLLI-UHFFFAOYSA-N,50181153,320.0
71,50528602,[H]ON([H])C(=O)C([H])([H])S[C@]([H])(c1c([H])c(F)c([H])c(F)c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])SC([H])(c1c([H])c(F)c([H])c(F)c1[H])P(=O)(O[H])O[H],CHWZNLZHQNRDMJ-SECBINFHSA-N,50528602,320.0
72,701271,O=CN(O)CCCP(=O)([O-])O,O=CN(O)CCCP(=O)([O-])O,GJXWDTUCERCKIX-UHFFFAOYSA-M,701271,340.0
73,50459311,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[P@](=O)([O-])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)([O-])O[H],PKMNDDZSIHLLLI-UHFFFAOYSA-M,50459311,360.0
74,50181149,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],FNAXXVYOCPGAEJ-GFCCVEGCSA-N,50181149,396.0
75,50335482,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],FNAXXVYOCPGAEJ-GFCCVEGCSA-N,50335482,396.0
76,50380000,[H]ON(C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H])C([H])([H])[H],OXDGJHZVDJQJCC-UHFFFAOYSA-N,50380000,410.0
77,50459310,[H]ON(C([H])=O)C([H])([H])/C([H])=C(\[H])[P@@](=O)([O-])O[H],[H]ON(C([H])=O)C([H])([H])C([H])=C([H])P(=O)([O-])O[H],YTTBDWKRMPYBDN-HNQUOIGGSA-M,50459310,410.0
78,50153713,[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],GJXWDTUCERCKIX-UHFFFAOYSA-N,50153713,438.0
79,50153713,[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],GJXWDTUCERCKIX-UHFFFAOYSA-N,50153713,440.0
80,50028373,[H]ON(C(=O)C([H])([H])O[C@@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])OC([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],LUULKKFHGAQKEF-LLVKDONJSA-N,50028373,450.0
81,50181151,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],WKYGVTJLHPMWIU-GFCCVEGCSA-N,50181151,459.0
