Molecula_N,id,isomeric_smiles,canonical_smiles,inchikey,BindingDB MonomerID,IC50_nM,SMILES_CLEAN
60,50441195,[H]ON(C(=O)C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],UKTXVNQTYFYHAO-JTQLQIEISA-N,50441195,280.0,CN(O)C(=O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O
62,50181147,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H],DTLBAEVDNCUSMB-LLVKDONJSA-N,50181147,282.0,CC(=O)N(O)CCC(c1ccccc1)P(=O)(O)O
63,50441193,[H]ON(C(=O)C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],YBVPWURHYFIQDS-LLVKDONJSA-N,50441193,290.0,Cc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1
64,50528590,[H]ON([H])C(=O)C([H])([H])S[C@]([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])SC([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],FBMPGIWVPZIABL-SNVBAGLBSA-N,50528590,290.0,Cc1ccc(C(SCC(=O)NO)P(=O)(O)O)cc1
67,50185363,[H]ON(C([H])=O)C([H])([H])[C@]1([H])C([H])([H])[C@@]1([H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C1([H])C([H])([H])C1([H])P(=O)(O[H])O[H],UQUOLLQTLQTTFU-CRCLSJGQSA-N,50185363,313.0,O=CN(O)CC1CC1P(=O)(O)O
68,50437797,[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],ZQCVCGYWPNFEAH-HNNXBMFYSA-N,50437797,320.0,O=C(c1ccccc1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O
69,50028364,[H]ON(C(=O)C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],MTKVPWZBCNHJJD-LBPRGKRZSA-N,50028364,320.0,COc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1OC
73,50459311,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[P@](=O)([O-])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)([O-])O[H],PKMNDDZSIHLLLI-UHFFFAOYSA-M,50459311,360.0,CC(=O)N(O)CCCP(=O)([O-])O
74,50181149,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],FNAXXVYOCPGAEJ-GFCCVEGCSA-N,50181149,396.0,CC(=O)N(O)CCC(c1ccc(C)cc1)P(=O)(O)O
80,50028373,[H]ON(C(=O)C([H])([H])O[C@@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])OC([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],LUULKKFHGAQKEF-LLVKDONJSA-N,50028373,450.0,COc1ccc(C(OCC(=O)N(C)O)P(=O)(O)O)cc1
